station_name,free_bikes,empty_slots,latitude,longitude,timestamp
François-Mitterrand-Platz,4,36,50.11088180541992,8.665425300598145,2026-01-07 22:08:11.686226
Studierendenhaus Jügelstraße / Mertonstraße,0,40,50.11853790283203,8.651871681213379,2026-01-07 22:08:11.686227
Eschersheimer Landstraße / Am Weißen Stein,0,40,50.156612396240234,8.657018661499023,2026-01-07 22:08:11.686227
Kleinmarkthalle,9,31,50.11225509643555,8.68207836151123,2026-01-07 22:08:11.686228
Adlerwerke Kleyerstrasse / Kriegkstrasse,4,36,50.10127639770508,8.639674186706543,2026-01-07 22:08:11.686228
Ackermannstraße / Kleyerstraße,2,38,50.096275329589844,8.627853393554688,2026-01-07 22:08:11.686229
Friedberger Landstraße / Rohrbachstraße,0,40,50.1275634765625,8.692436218261719,2026-01-07 22:08:11.686229
Elbinger Straße / Trakehner Straße,1,39,50.126068115234375,8.626603126525879,2026-01-07 22:08:11.686230
Tel-Aviv Platz,0,40,50.107460021972656,8.62913990020752,2026-01-07 22:08:11.686230
Messe Haupteingang / Friedrich-Ebert-Anlage,10,30,50.112022399902344,8.654200553894043,2026-01-07 22:08:11.686231
Ernst-May-Platz,2,38,50.12641525268555,8.716830253601074,2026-01-07 22:08:11.686231
Alt-Rödelheim / Thudichumstraße,1,39,50.12541961669922,8.611519813537598,2026-01-07 22:08:11.686232
Berliner Straße/Marktplatz,1,39,50.10554885864258,8.764809608459473,2026-01-07 22:08:11.686233
Studentenwohnheim Ludwig-Landmann-Str. 343,4,36,50.12848663330078,8.622259140014648,2026-01-07 22:08:11.686233
Röderbergweg,1,39,50.11333465576172,8.701589584350586,2026-01-07 22:08:11.686234
Portis Büro Eschborn / Ginnheimer Straße,4,36,50.140655517578125,8.579182624816895,2026-01-07 22:08:11.686234
Gartenstraße / Holbeinstraße,6,34,50.10153579711914,8.67471694946289,2026-01-07 22:08:11.686235
DB InfraGO,1,39,50.11347198486328,8.647724151611328,2026-01-07 22:08:11.686235
Eschersheimer Landstraße / Am Lindenbaum,0,40,50.15321350097656,8.66100788116455,2026-01-07 22:08:11.686236
Im Prüfling / Throner Straße,2,38,50.129520416259766,8.707500457763672,2026-01-07 22:08:11.686237
Stadtbücherei Griesheim,0,40,50.09513473510742,8.607426643371582,2026-01-07 22:08:11.686238
Gallusanlage 7,4,36,50.109649658203125,8.6714448928833,2026-01-07 22:08:11.686238
U  Zeilweg,1,39,50.16451644897461,8.642948150634766,2026-01-07 22:08:11.686246
Campus Westend / Hansa-Allee,4,36,50.129119873046875,8.66966438293457,2026-01-07 22:08:11.686247
Reifenberger Straße / Hausener Weg,1,39,50.12868118286133,8.61532974243164,2026-01-07 22:08:11.686248
Eschenheimer Anlage / Oeder Weg (Verkehrsinsel),11,29,50.118160247802734,8.67977237701416,2026-01-07 22:08:11.686248
